"idno","typesamp","interva","telnum","agea_1","gendera1","type","access","physa","littera","vandaa","psu","prob","vote","prtvtbgb","prtclbgb","prtdgcl","ctzcntr","ctzshipc","brncntr","cntbrthc","cgtsmke","cgtsday","alcfreq","alcwkdy","alcwknd","hhmmb","gndr","agea","eisced","pdwrk","edctn","uempla","uempli","rtrd","wrkctra","hinctnta","region","alcohol_day"
100000003,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Satisfactory","Small amount","None or almost none",9388,0.00020306164012234,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Once a week",0,8,1,"Female",49,"ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","M - 4th decile","West Midlands (England)",0.326530612244898
100000005,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9241,0.00020306164012234,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",10,"Once a week",48,96,2,"Female",45,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked","No contract","R - 2nd decile","Scotland",8.81632653061225
100000008,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","Yes, locked gate/door","Good","None or almost none","None or almost none",9472,0.00020306164012234,"Yes","Labour","Labour","Not close","Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",42,0,1,"Male",76,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","R - 2nd decile","East Midlands (England)",0.914285714285714
100000009,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Satisfactory","Large amount","None or almost none",9450,0.0000507654100305851,"Yes","Labour",NA,NA,"Yes",NA,"No",NA,"I have never smoked",0,"Never",NA,NA,5,"Male",50,"ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not marked","Not marked","Unlimited","S - 6th decile","South East (England)",0
100000010,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Satisfactory","None or almost none","None or almost none",9479,0.00010153082006117,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",20,"2-3 times a month",55,0,2,"Male",67,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked",NA,"J - 1st decile","Yorkshire and the Humber",0.0326530612244898
100000012,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Very good","None or almost none","None or almost none",9460,0.00010153082006117,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Several times a week",26,32,2,"Female",31,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","F - 5th decile","South West (England)",24.6857142857143
100000015,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",9440,0.00010153082006117,"Yes","Conservative","Conservative","Quite close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Once a week",17,0,3,"Female",34,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","H - 10th decile","London",0.130612244897959
100000016,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9494,0.00020306164012234,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",15,"Never",NA,NA,1,"Female",44,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","R - 2nd decile","East of England",0
100000017,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Bad","None or almost none","None or almost none",9376,0.00010153082006117,"No",NA,"Labour","Very close","No","Poland","No","Poland","I have never smoked",0,"Never",NA,NA,3,"Male",32,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","S - 6th decile","West Midlands (England)",0
100000020,"Address","Complete and valid interview related to CF","Refused",NA,NA,"Single unit: Semi-detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",9273,0.00010153082006117,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",20,"Several times a week",42,121,2,"Male",58,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","South West (England)",12
100000022,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9445,0.00010153082006117,"No",NA,"Liberal Democrat","Not close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Several times a week",24,73,2,"Male",48,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","South West (England)",NA
100000023,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9430,0.0000676872133741134,"Yes","Conservative",NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",10,"Once a week",0,114,3,"Male",15,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited",NA,"West Midlands (England)",NA
100000025,"Address","Complete and valid interview related to CF",NA,NA,NA,"Multi-unit house, flat","Yes, entry phone","Satisfactory","Small amount","None or almost none",9405,0.00020306164012234,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",40,"Once a week",200,0,1,"Male",53,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Not marked","No contract",NA,"North East (England)",5.61224489795918
100000030,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9373,0.00010153082006117,"Yes","Liberal Democrat","Liberal Democrat","Not close","Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",58,50,2,"Female",65,"ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","M - 4th decile","East of England",15.7142857142857
100000031,"Address","Complete and valid interview related to CF","Refused",NA,NA,"Single unit: Terraced house","No, neither of these","Satisfactory","Small amount","Small amount",9299,0.00010153082006117,"No",NA,NA,NA,"No",NA,"No",NA,"I don't smoke now but I used to",0,"Less than once a month",18,0,2,"Male",41,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","P - 8th decile","Wales",0.00653061224489796
100000033,"Address","Complete and valid interview related to CF","Refused",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9230,0.00010153082006117,"Yes","Labour","Labour","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Once a week",18,28,4,"Female",40,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited",NA,"North East (England)",3.5265306122449
100000034,"Address","Complete and valid interview related to CF","Refused","60 or over","Male","Single unit: Detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",9313,0.00020306164012234,"Yes","Labour","Labour","Quite close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Never",NA,NA,1,"Male",91,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","C - 3rd decile","Yorkshire and the Humber",0
100000036,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Bad","Large amount","None or almost none",9266,0.0000225624044580378,"Yes","UK Independence Party","UK Independence Party","Very close","Yes",NA,"Yes",NA,"I smoke daily",18,"Several times a week",0,145,3,"Female",48,"ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","S - 6th decile","Yorkshire and the Humber",11.0857142857143
100000037,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9440,0.00010153082006117,"Not eligible to vote",NA,NA,NA,"No",NA,"No",NA,"I have never smoked",0,"Several times a week",17,0,4,"Female",39,"ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not marked","Not marked","No contract","H - 10th decile","London",4.85714285714286
100000041,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",9345,0.00010153082006117,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Once a week",91,91,1,"Male",49,"ES-ISCED II, lower secondary","Not marked","Not marked","Marked","Not marked","Not marked","Unlimited","J - 1st decile","North East (England)",1.73469387755102
100000043,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9444,0.00010153082006117,"Yes","Conservative",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",73,36,2,"Male",29,"ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","C - 3rd decile","East of England",NA
100000046,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","Small amount","None or almost none",9485,0.00010153082006117,"Yes","Scottish National Party","Scottish National Party","Very close","Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",64,36,2,"Male",36,"ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","H - 10th decile","Scotland",NA
100000047,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Very good","None or almost none","None or almost none",9476,0.00020306164012234,"Yes","Labour",NA,NA,"Yes",NA,"Yes",NA,"I have only smoked a few times",0,"Several times a week",41,65,1,"Female",52,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","C - 3rd decile","South East (England)",25.8285714285714
100000048,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone","Good","Large amount","None or almost none",9296,0.00010153082006117,NA,NA,"Labour","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Once a week",24,94,2,"Male",32,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","South West (England)",NA
100000050,"Address","Complete and valid interview related to CF","Refused",NA,NA,"Multi-unit house, flat","Yes, entry phone","Good","Small amount","None or almost none",9320,0.00010153082006117,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Never",NA,NA,2,"Female",67,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","M - 4th decile","South East (England)",0
100000052,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9413,0.00020306164012234,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"No",NA,"I have never smoked",0,"Once a week",73,200,1,"Male",50,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked","Limited","P - 8th decile","East Midlands (England)",NA
100000053,"Address","Complete and valid interview related to CF","Refused","40 to 59","Male","Multi-unit house, flat","Yes, locked gate/door","Bad","Large amount","Small amount",9495,0.00010153082006117,"No",NA,NA,NA,"Yes",NA,"No","Ireland","I smoke daily",30,"2-3 times a month",42,146,1,"Male",43,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","London",0.881632653061225
100000054,"Address","Complete and valid interview related to CF","Refused","60 or over","Male","Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9264,0.00010153082006117,"Yes","Conservative",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Less than once a month",0,0,2,"Male",65,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","S - 6th decile","North West (England)",0.176326530612245
100000055,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9386,0.00020306164012234,"Yes","Labour","Labour","Quite close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Once a month",0,8,1,"Male",93,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","C - 3rd decile","West Midlands (England)",0.0108843537414966
100000057,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","No, neither of these","Good","None or almost none","None or almost none",9241,0.00020306164012234,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",15,"2-3 times a month",17,17,1,"Female",29,"ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","No contract","R - 2nd decile","Scotland",0.0914285714285714
100000062,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9418,0.00010153082006117,"Yes","Liberal Democrat","Green Party","Not close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Several times a week",26,26,2,"Male",64,"ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","M - 4th decile","South West (England)",15.2
100000063,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9240,0.00010153082006117,"Yes","Labour","Labour","Quite close","Yes",NA,"Yes",NA,"I have only smoked a few times",0,"Several times a week",18,109,2,"Male",65,"ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","F - 5th decile","Wales",13.0285714285714
100000067,"Address","Complete and valid interview related to CF","Present","Under 20","Female","Single unit: Semi-detached house","No, neither of these","Satisfactory","Small amount","Small amount",9389,0.0000406123280244681,"Yes","Liberal Democrat","UK Independence Party","Quite close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Never",NA,NA,6,"Male",65,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Not marked","No contract","R - 2nd decile","East Midlands (England)",0
100000070,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9236,0.00020306164012234,"Yes","Conservative",NA,NA,"Yes",NA,"Yes",NA,"I have only smoked a few times",0,"Never",NA,NA,1,"Female",72,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","R - 2nd decile","East of England",0
100000071,"Address","Complete and valid interview related to CF","Present","Don't know, never saw R, no selected R","Don't know, never saw R, no selected R","Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9242,0.00010153082006117,"Yes","Labour","Labour","Not close","Yes",NA,"No","Sri Lanka","I have never smoked",0,"Never",NA,NA,4,"Male",55,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Limited","P - 8th decile","London",0
100000073,"Address","Complete and valid interview related to CF","No phone",NA,NA,"Multi-unit house, flat","No, neither of these","Bad","Small amount","None or almost none",9458,0.00010153082006117,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,4,"Male",19,"ES-ISCED IV, advanced vocational, sub-degree","Not marked","Marked","Not marked","Not marked","Not marked",NA,"J - 1st decile","South East (England)",0
100000075,"Address","Complete and valid interview related to CF","Present","60 or over","Male","Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9481,0.00010153082006117,"Yes","UK Independence Party",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",24,24,2,"Male",78,"ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","F - 5th decile","South West (England)",57.1428571428571
100000076,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone","Very good","None or almost none","None or almost none",9347,0.00020306164012234,"Yes","Conservative","Conservative","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,1,"Male",38,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","F - 5th decile","East of England",0
100000077,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","Small amount","None or almost none",9356,0.00020306164012234,"Yes","Labour",NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",20,"Less than once a month",17,17,3,"Female",41,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked",NA,"H - 10th decile","South East (England)",0.0182857142857143
100000080,"Address","Complete and valid interview related to CF","Present","20 to 39","Male","Multi-unit house, flat","No, neither of these","Good","Small amount","Small amount",9377,0.00010153082006117,"Yes","Scottish National Party","Labour","Not close","Yes",NA,"No","Germany","I don't smoke now but I used to",0,"2-3 times a month",55,182,2,"Male",37,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","F - 5th decile","Scotland",NA
100000084,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9486,0.0000676872133741134,"Yes","Labour",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,3,"Female",59,"ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not marked","Not marked",NA,"M - 4th decile","South West (England)",0
100000085,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","Small amount","None or almost none",9353,0.0000507654100305851,"Yes","Conservative","Conservative","Not close","Yes",NA,"Yes",NA,"I have never smoked",0,"Less than once a month",0,18,6,"Male",47,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","H - 10th decile","London",NA
100000086,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Very bad","Small amount","Small amount",9458,0.00020306164012234,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Once a week",0,94,1,"Male",61,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","M - 4th decile","South East (England)",1.71428571428571
100000088,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9370,0.00010153082006117,"Yes","Labour",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",28,64,1,"Female",52,"ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","D - 9th decile","North East (England)",22.2857142857143
100000089,"Address","Complete and valid interview related to CF","Present","Don't know, never saw R, no selected R","Male","Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","None or almost none","None or almost none",9324,0.00020306164012234,"Yes","UK Independence Party","UK Independence Party","Quite close","Yes",NA,"Yes",NA,"I smoke daily",2,"Once a week",18,18,1,"Male",58,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","S - 6th decile","East of England",NA
100000091,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9363,0.00010153082006117,"Yes","Labour",NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",10,"Once a week",16,0,2,"Female",54,"ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","F - 5th decile","North East (England)",4.6530612244898
100000095,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9234,0.00010153082006117,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"2-3 times a month",24,8,3,"Male",49,"ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","South East (England)",3.92857142857143
100000096,"Address","Complete and valid interview related to CF","Present","Don't know, never saw R, no selected R","Male","Farm","No, neither of these","Very good","None or almost none","None or almost none",9256,0.00010153082006117,"Yes","Conservative","Conservative","Not close","Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",24,79,4,"Male",53,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","No contract","D - 9th decile","South East (England)",5.14285714285714
